language;endonym;description;world_region;country;global_speakers;primary_location;add_neighborhoods;latitude;longitude;size;status;glottocode;lg_family;iso_639_3
Asturian;Asturianu;Astoria's Centro Asturiano de Nueva York serves to unify Asturians throughout the city and celebrate the people's unique heritage in Northern Spain. Like their neighbors to the west in Galicia, Asturians share Hispano-Celtic roots, with some words of the language claimed to have Celtic roots. Originally established in Elmhurst by around 30 Asturian families in New York, the Centro Asturiano now has a dedicated headquarters in Astoria — the similarities of the names are purely a coincidence — and authentic Asturian culinary offerings can be found in the city at institutions like Despaña Brand Foods.;Southern Europe;Spain, Portugal;560000;Astoria;Elmhurst;4.075.872.300;-7.391.782.900;Smallest;Residential;astu1246;Indo-European;ast
Australian English;Aussie English;"At least 11,000 strong according to 2015-2019 American Community Survey data, New York City's Australian community has more than doubled in size over the past two decades. Australians live primarily in Brooklyn and Manhattan, and a slew of Australian-owned shops and restaurants have opened around the city, most notably around Nolita and SoHo, where The Flower Shop, Two Hands, and Ruby's Cafe serve as social hubs in a small area some have called ""Little Australia"".";Australia and New Zealand;Australia;24000000;SoHo;;4.072.226.900;-7.399.624.200;Medium;Residential;;Indo-European;eng
Austrian German;Österreichisches Deutsch;While the Austrian Cultural Forum today represents a de facto cultural embassy for the Austrian government, small Austrian German-speaking communities have also existed around the city, usually among other communities speaking Germanic language varieties. One substantial community came from the Burgenland in today's eastern Austria, with many settling in Queens neighborhoods such as Ridgewood and College Point and forming the Brüderschaft der Burgenländer New York in 1937. Many mid-20th century Austrian Jewish Austrian refugees settled on the Upper West Side or in Washington Heights and frequented establishments like Eclair, a popular spot for intellectuals and artists suffused with nostalgia for Viennese cafe culture.;Western Europe;Austria;8859000;College Point;;4.078.312.200;-7.384.418.100;Small;Residential;;Indo-European;
Austrian German;Österreichisches Deutsch;While the Austrian Cultural Forum today represents a de facto cultural embassy for the Austrian government, small Austrian German-speaking communities have also existed around the city, usually among other communities speaking Germanic language varieties. One substantial community came from the Burgenland in today's eastern Austria, with many settling in Queens neighborhoods such as Ridgewood and College Point and forming the Brüderschaft der Burgenländer New York in 1937. Many mid-20th century Austrian Jewish Austrian refugees settled on the Upper West Side or in Washington Heights and frequented establishments like Eclair, a popular spot for intellectuals and artists suffused with nostalgia for Viennese cafe culture.;Western Europe;Austria;8859000;Midtown;Upper West Side;4.075.947.900;-7.397.532.900;Medium;Community;;Indo-European;
Avar;Авар;In recent years, small numbers of individuals and families from the highly multilingual Caucasus have come to New York, settling primarily in and around the post-Soviet world of Brighton Beach, though not much information is known. Besides speakers of the major national languages, there are reported to be some Lezgis (some apparently connected with the city's Azeri community), Avars, Chechens, and Ingush. At least for short periods there have also been speakers of Haput and Lak in the city. An older North Caucasian community, where Circassians are most numerous, exists in Paterson, New Jersey.;Western Asia;Russia, Azerbaijan;766500;Brighton Beach;;4.058.127.500;-7.396.191.800;Smallest;Residential;avar1265;Nakh-Daghestanian;ava
Avestan;Avestan;Avestan is the sacred language of Zoroastrianism, which is practiced by a small community living across the New York metro region. Originally spoken around 1500 BCE and thus an important linguistic key to the Indo-European past, Avestan was revitalized as a written-only liturgical language nearly two thousand years later. Named for Zoroastrianism's central text, the Avesta, the language employed a new alphabet that descends to an extent from (Semitic) Aramaic, though linguistically it is closer to (Indo-European) Sanskrit. In daily life, Zoroastrians from Iran may speak Zoroastrian Dari (closely related to Persian), while those from South Asia (notably Parsis) may speak Gujarati or English, but Avestan continues to serve as a common liturgical language for worshippers at the Dar-e-Mehr Zoroastrian Temple in Pomona, New York.;Southern Asia;India, Iran;;Pomona (NY);;4.116.845.900;-7.405.239.800;Medium;Liturgical;aves1237;Indo-European;ave
Aymara;Aymar Aru;Some individual speakers of Aymara, a major Indigenous language of Bolivia, may be part of the Queens Bolivian community, which is one of the country's largest.;South America;Bolivia;1677100;Jackson Heights;;4.075.025.000;-7.387.573.400;Smallest;Residential;ayma1253;Aymaran;aym
Azeri;Azərbaycanca;The first wave of Azeri-Americans came during and following the Second World War, with many having been prisoners of war. New York City has been the main destination, especially southern Brooklyn (home to the Azerbaijan Association of NY and restaurants like Old Baku), as well as parts of New Jersey including Newark (home to the Azerbaijan Society of America). There are 4,709 Azerbaijan-born Americans in NYC, according to 2015-2019 American Community Survey data, although many likely speak Russian or Juhuri, the language of the large Jewish community in Azerbaijan and Daghestan now also in Brooklyn. In addition to North Azeri speakers from Azerbaijan, there are also likely to be Iranian (South) Azeri speakers.;Western Asia;Azerbaijan, Russia;9197760;Homecrest;Gravesend;4.059.205.300;-7.395.656.900;Medium;Residential;mode1262;Turkic;azj
Azeri;Azərbaycanca;The first wave of Azeri-Americans came during and following the Second World War, with many having been prisoners of war. New York City has been the main destination, especially southern Brooklyn (home to the Azerbaijan Association of NY and restaurants like Old Baku), as well as parts of New Jersey including Newark (home to the Azerbaijan Society of America). There are 4,709 Azerbaijan-born Americans in NYC, according to 2015-2019 American Community Survey data, although many likely speak Russian or Juhuri, the language of the large Jewish community in Azerbaijan and Daghestan now also in Brooklyn. In addition to North Azeri speakers from Azerbaijan, there are also likely to be Iranian (South) Azeri speakers.;Western Asia;Azerbaijan, Russia;9197760;Kensington;Bensonhurst;4.063.848.221;-7.397.729.244;Medium;Residential;mode1262;Turkic;azj
Azeri;Azərbaycanca;The first wave of Azeri-Americans came during and following the Second World War, with many having been prisoners of war. New York City has been the main destination, especially southern Brooklyn (home to the Azerbaijan Association of NY and restaurants like Old Baku), as well as parts of New Jersey including Newark (home to the Azerbaijan Society of America). There are 4,709 Azerbaijan-born Americans in NYC, according to 2015-2019 American Community Survey data, although many likely speak Russian or Juhuri, the language of the large Jewish community in Azerbaijan and Daghestan now also in Brooklyn. In addition to North Azeri speakers from Azerbaijan, there are also likely to be Iranian (South) Azeri speakers.;Western Asia;Azerbaijan, Russia;9197760;Newark (NJ);;4.077.254.400;-7.416.267.900;Small;Community;mode1262;Turkic;azj
Bahamian Creole;Bahamianese;The Nassau Bahamas Association of New York, now based on 137th Street in Harlem, has existed for over a century as a focal point for Bahamian New Yorkers of various backgrounds.;Caribbean;Bahamas;250000;Central Harlem;;4.081.732.791;-7.394.340.618;Small;Community;baha1260;Indo-European;
